PST NAME,ED PENALTY,LOG NUM,DATESTAMP,RARITY,OWNERS
ThePriceysRight,false,7456,2018-10-23T22:25:09,33.53,136076
ThePriceysRight,false,7455,2018-10-23T22:24:02,31.68,136076
ThePriceysRight,false,7454,2018-10-23T22:22:47,32.26,136076
ThePriceysRight,false,7453,2018-10-23T22:20:49,37.63,136076
ThePriceysRight,false,7452,2018-10-23T22:19:52,45.91,136076
ThePriceysRight,false,7451,2018-10-23T09:05:31,77.34,128
ThePriceysRight,false,7450,2018-10-23T09:02:16,96.09,128
ThePriceysRight,false,7449,2018-10-23T06:23:30,29.53,136076
ThePriceysRight,false,7448,2018-10-23T06:23:29,94.19,136076
TuckNorris85,false,4898,2018-10-23T19:35:23,3.97,116850
TuckNorris85,false,4897,2018-10-23T18:54:17,37.57,116850
TuckNorris85,false,4896,2018-10-23T18:54:03,6.18,116850
TuckNorris85,false,4895,2018-10-23T18:53:54,5.65,116850
tuffmuff,false,26432,2018-10-24T01:29:55,0.59,237
tuffmuff,false,26431,2018-10-24T01:29:54,0.99,161
tuffmuff,false,26430,2018-10-23T22:34:15,0.06,107367
TwilightStar,false,6267,2018-10-23T20:38:21,4.44,93084
TwilightStar,false,6266,2018-10-23T20:27:45,4.68,93084
TwilightStar,false,6265,2018-10-23T19:16:08,4.98,93084
TwilightStar,false,6264,2018-10-23T17:07:33,6.37,93084
twyz,false,8816,2018-10-23T21:21:31,2.04,81391
twyz,false,8815,2018-10-23T21:10:32,2.16,81391
twyz,false,8814,2018-10-23T04:57:48,4.7,81391
Walt the Dog,false,26302,2018-10-24T06:47:57,5.95,199550
Walt the Dog,false,26301,2018-10-24T06:33:16,3.5,199550
Walt the Dog,false,26300,2018-10-23T22:57:53,2.66,19095
Walt the Dog,false,26299,2018-10-23T22:49:39,6.14,19095
Walt the Dog,false,26298,2018-10-23T22:44:45,3.26,19095
Walt the Dog,false,26297,2018-10-23T22:44:44,7.45,19095
Walt the Dog,false,26296,2018-10-23T22:40:58,16.83,19095
Walt the Dog,false,26295,2018-10-23T22:40:56,5.04,19095
Walt the Dog,false,26294,2018-10-23T22:31:21,5.47,19095
Walt the Dog,false,26293,2018-10-23T05:27:53,1.82,199550
Xander45,false,28915,2018-10-23T23:01:24,4.32,45504
Xander45,false,28914,2018-10-23T22:58:43,4.67,45504
Xander45,false,28913,2018-10-23T16:18:22,14.02,40253
Xander45,false,28912,2018-10-23T16:18:22,16.49,40253
