PST NAME,ED PENALTY,LOG NUM,DATESTAMP,RARITY,OWNERS
Dino_Roar,false,17285,2018-10-23T14:10:03,7.71,21429
Dino_Roar,false,17284,2018-10-23T14:09:12,7.25,21429
Dino_Roar,false,17283,2018-10-23T13:14:18,6.22,21429
Jerry Appleby,false,22304,2018-10-23T06:59:39,3.48,22167
Jerry Appleby,false,22303,2018-10-23T06:48:52,4.62,22167
Jerry Appleby,false,22302,2018-10-23T06:45:45,4.37,22167
Jerry Appleby,false,22301,2018-10-23T06:27:58,3.33,22167
KyoRML007,false,10496,2018-10-23T04:48:08,4.44,74078
KyoRML007,false,10495,2018-10-23T04:33:50,3.85,74078
leptonic,false,30724,2018-10-23T13:51:43,78.39,1777
leptonic,false,30723,2018-10-23T13:48:33,77.43,1777
leptonic,false,30722,2018-10-23T13:18:28,86.98,1014
leptonic,false,30721,2018-10-23T13:15:07,86.69,1014
leptonic,false,30720,2018-10-23T12:51:43,88.27,1500
leptonic,false,30719,2018-10-23T12:46:38,87.2,1500
leptonic,false,30718,2018-10-23T05:13:40,49.33,40758
leptonic,false,30717,2018-10-23T05:01:49,39.6,40758
leptonic,false,30716,2018-10-23T04:17:32,40.2,40758
leptonic,false,30715,2018-10-23T03:21:48,13.73,40758
leptonic,false,30714,2018-10-23T03:15:33,36.21,40758
leptonic,false,30713,2018-10-23T03:04:45,25.23,40758
leptonic,false,30712,2018-10-23T02:59:35,18.24,40758
leptonic,false,30711,2018-10-23T02:45:48,31.52,40758
leptonic,false,30710,2018-10-23T02:42:40,26.27,40758
Martz,false,3129,2018-10-23T15:41:56,8.02,17670
Martz,false,3128,2018-10-23T15:21:18,5.07,17670
MikelAl93,false,10017,2018-10-23T08:55:03,2.21,25004
MikelAl93,false,10016,2018-10-23T08:39:40,17.64,25004
MikelAl93,false,10015,2018-10-23T03:57:28,1.8,201363
nyannyanexpress,false,9872,2018-10-23T04:49:19,1.84,11979
Resolute,false,12367,2018-10-23T18:46:14,1.29,165885
Resolute,false,12366,2018-10-23T16:22:40,1.5,165885
staytrue1985,false,8269,2018-10-23T14:49:47,12.5,9023
TheManUtdFan,false,21038,2018-10-23T17:19:58,1.4,9932
themindisacity,false,18236,2018-10-23T17:20:18,2.48,40758
themindisacity,false,18235,2018-10-23T17:17:22,5.69,40758
themindisacity,false,18234,2018-10-23T17:16:29,5.99,40758
ThePriceysRight,false,7449,2018-10-23T06:23:30,29.53,136076
ThePriceysRight,false,7448,2018-10-23T06:23:29,94.19,136076
TuckNorris85,false,4897,2018-10-23T18:54:17,37.57,116739
TuckNorris85,false,4896,2018-10-23T18:54:03,6.18,116739
TuckNorris85,false,4895,2018-10-23T18:53:54,5.66,116739
twyz,false,8814,2018-10-23T04:57:48,4.7,81391
Walt the Dog,false,26293,2018-10-23T05:27:53,1.82,199487
